"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a courier can log in with valid credentials and receive an ID","1301","Successful courier authorization","tests","Thu Mar 26 10:39:13 UTC 2026","passed","Thu Mar 26 10:39:15 UTC 2026","TestCourierLogin","test_login_courier","",""
"Verify that login fails with 400 error if login or password field is empty","609","Authorization fails if required field is missing: login","tests","Thu Mar 26 10:39:17 UTC 2026","passed","Thu Mar 26 10:39:17 UTC 2026","TestCourierLogin","test_login_courier","",""
"Verify that an order can be successfully created with different color selections (or no color)","641","Create order with color variation: No color","tests","Thu Mar 26 10:39:01 UTC 2026","passed","Thu Mar 26 10:39:01 UTC 2026","TestOrderCreation","test_create_order","",""
"Verify that an order can be successfully created with different color selections (or no color)","622","Create order with color variation: Both colors","tests","Thu Mar 26 10:39:00 UTC 2026","passed","Thu Mar 26 10:39:01 UTC 2026","TestOrderCreation","test_create_order","",""
"Verify that courier cannot be created if login or password is missing","612","Check required fields for courier creation","tests","Thu Mar 26 10:38:54 UTC 2026","passed","Thu Mar 26 10:38:55 UTC 2026","TestCourierCreation","test_create_courier","",""
"Verify that it is impossible to create two couriers with the same login","1277","Create duplicate courier","tests","Thu Mar 26 10:38:51 UTC 2026","passed","Thu Mar 26 10:38:52 UTC 2026","TestCourierCreation","test_create_courier","",""
"Verify that login fails with 400 error if login or password field is empty","626","Authorization fails if required field is missing: password","tests","Thu Mar 26 10:39:19 UTC 2026","passed","Thu Mar 26 10:39:20 UTC 2026","TestCourierLogin","test_login_courier","",""
"Verify that the list of orders can be successfully retrieved and is not empty","11462","Retrieve all existing orders","tests","Thu Mar 26 10:39:01 UTC 2026","passed","Thu Mar 26 10:39:13 UTC 2026","TestOrderList","test_get_orders_list","",""
"Verify that an order can be successfully created with different color selections (or no color)","615","Create order with color variation: Black color","tests","Thu Mar 26 10:38:59 UTC 2026","passed","Thu Mar 26 10:38:59 UTC 2026","TestOrderCreation","test_create_order","",""
"Verify that a courier can be created with all valid required fields","631","Create courier successfully","tests","Thu Mar 26 10:38:49 UTC 2026","passed","Thu Mar 26 10:38:49 UTC 2026","TestCourierCreation","test_create_courier","",""
"Verify that an order can be successfully created with different color selections (or no color)","613","Create order with color variation: Grey color","tests","Thu Mar 26 10:38:59 UTC 2026","passed","Thu Mar 26 10:39:00 UTC 2026","TestOrderCreation","test_create_order","",""
"Verify that login fails with 404 error for non-existing credentials","658","Authorization of non-existing courier","tests","Thu Mar 26 10:39:24 UTC 2026","passed","Thu Mar 26 10:39:25 UTC 2026","TestCourierLogin","test_login_courier","",""
"Verify that courier cannot be created if login or password is missing","603","Check required fields for courier creation","tests","Thu Mar 26 10:38:57 UTC 2026","passed","Thu Mar 26 10:38:57 UTC 2026","TestCourierCreation","test_create_courier","",""
"Verify that login fails with 404 error if password is incorrect","607","Authorization with incorrect password","tests","Thu Mar 26 10:39:22 UTC 2026","passed","Thu Mar 26 10:39:23 UTC 2026","TestCourierLogin","test_login_courier","",""
